"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2513037,"January 28, 2023",Indiana,Indianapolis,"1900 block of N Oxford St",1,0,N/A
2513034,"January 28, 2023",Illinois,Joliet,"600 block of Wheeler Ave",0,2,N/A
2513026,"January 28, 2023",Illinois,Chicago,"100 block of W 127th St",0,1,N/A
2513023,"January 28, 2023",Illinois,Chicago,"5400 block of S Damen Ave",0,2,N/A
2513006,"January 28, 2023",Alaska,Anchorage,"W 3rd Ave and G St",1,1,N/A
2512936,"January 27, 2023","New York",Syracuse,"100 block of S Alvord St",0,1,N/A
2512934,"January 27, 2023",Kentucky,Louisville,"4500 block of South 6th St",0,1,N/A
2512922,"January 27, 2023",Minnesota,"Saint Paul","Pendersen St and Conway St",0,1,N/A
2512931,"January 27, 2023",Texas,Spring,"20131 North Fwy",1,0,N/A
2512926,"January 27, 2023",Minnesota,Minneapolis,"N Washington Ave and N 2nd St",0,1,N/A
2512924,"January 27, 2023",Louisiana,Shreveport,N/A,0,1,N/A
2512920,"January 27, 2023",Illinois,Chicago,"400 block of N Peshtigo Ct",0,1,N/A
2512910,"January 27, 2023",Illinois,Chicago,"6900 block of S Lafayette Ave",0,1,N/A
2512904,"January 27, 2023",Illinois,Chicago,"900 S Western Ave",0,1,N/A
2512887,"January 27, 2023",Missouri,"Saint Louis","2100 block of Stansbury St",0,1,N/A
2512880,"January 27, 2023",Michigan,Lansing,"E Miller Rd and S Cedar St",0,1,N/A
2512847,"January 27, 2023",Kentucky,Louisville,"4400 block of Manslick Road",0,1,N/A
2512871,"January 27, 2023",Missouri,"Kansas City","3400 block of Chestnut Ave",1,1,N/A
2512865,"January 27, 2023",Missouri,"Kansas City","2100 block of E 24th Ter",1,0,N/A
2512854,"January 27, 2023",Tennessee,Memphis,"Macon Rd and Berclair Rd",0,1,N/A
2512761,"January 27, 2023",Virginia,Richmond,"1300 block of St Paul St",2,0,N/A
2512771,"January 27, 2023",Tennessee,Nashville,"182 Lafayette St",1,0,N/A
2512800,"January 27, 2023",Tennessee,Memphis,"3700 block of Maple Leaf Cove",0,1,N/A
2512721,"January 27, 2023",Indiana,Indianapolis,"9500 block of Village Way",1,0,N/A
2512694,"January 27, 2023",Louisiana,"New Orleans","600 block of St Louis St",0,1,N/A
2512692,"January 27, 2023",Louisiana,"New Orleans","I-10 and Bullard Ave",0,1,N/A
2512656,"January 27, 2023",Arkansas,Jonesboro,"100 block of Co Rd 457",1,0,N/A
2512539,"January 27, 2023",Arizona,"El Mirage","12701 N Main St",0,0,N/A
2512468,"January 27, 2023",Alabama,Dothan,"100 block of Michigan Ave",0,1,N/A
2512463,"January 27, 2023",Maryland,Baltimore,"3900 block of Belvieu Ave",1,0,N/A
2512460,"January 27, 2023",Maryland,Baltimore,"409 E Baltimore St",0,1,N/A
2512455,"January 27, 2023",Maryland,Baltimore,"2202 Presstman St",0,0,N/A
2512437,"January 27, 2023",Georgia,Carnesville,"485 Turkey Creek Rd",0,0,N/A
2512425,"January 27, 2023",Georgia,Atlanta,"2778 Vineyard Dr",0,1,N/A
2513039,"January 27, 2023",Georgia,Albany,"2706 N Slappey Blvd",1,0,N/A
2512418,"January 27, 2023",Georgia,Atlanta,"30 Marietta St NW",1,0,N/A
2512405,"January 27, 2023",Illinois,Chicago,"E 114th St and S Forrestville Ave",0,1,N/A
2512737,"January 27, 2023",Illinois,Chicago,"9549 S Bennett Ave",2,0,N/A
2513021,"January 27, 2023",Washington,Seattle,"5th Ave NE and NE 42nd St",1,0,N/A
2512998,"January 27, 2023","District of Columbia",Washington,"5th St NW and Tuckerman St NW",0,1,N/A
2512996,"January 27, 2023","District of Columbia",Washington,"Nash St NE and 49th St NE",0,1,N/A
2512993,"January 27, 2023",Virginia,Alexandria,"4641 Kenmore Ave",0,1,N/A
2512985,"January 27, 2023",California,"San Diego","62nd St and Akins Ave",0,2,N/A
2512988,"January 27, 2023",California,"San Diego","Manzana Way",1,1,N/A
2512983,"January 27, 2023",Ohio,Cleveland,"East 93rd St and WadePark Ave",0,1,N/A
2512973,"January 27, 2023",Texas,Victoria,"2402 N Ben Wilson St",0,2,N/A
2512970,"January 27, 2023",Texas,"San Antonio","400 block of Trudell Dr",2,0,N/A
2512943,"January 27, 2023",Texas,Houston,"100 Hollow Tree Ln",1,0,N/A
2512938,"January 27, 2023","New York",Rochester,"Culver Rd and Merchants Rd",1,0,N/A
2512297,"January 26, 2023","New York",Utica,"James St and Dudley Ave",0,1,N/A
2512295,"January 26, 2023",Kentucky,Louisville,"500 block of Cooper St",1,0,N/A
2512276,"January 26, 2023",Ohio,Columbus,"2400 block of Eakin Rd",1,0,N/A
2512256,"January 26, 2023",Ohio,Cleveland,"600 block of E 108th St",1,0,N/A
2512252,"January 26, 2023",Virginia,Hampton,"700 block of Fallon Ct",1,0,N/A
2512208,"January 26, 2023",Virginia,"Newport News","50 block of Riverlands Dr",1,0,N/A
2512245,"January 26, 2023",Nebraska,Fremont,"2950 Dale St",0,0,N/A
2512861,"January 26, 2023",Texas,"Santa Rosa","Santa Rosa Village Apartment",1,0,N/A
2512238,"January 26, 2023",Wisconsin,Milwaukee,"400 block of W Center St",0,1,N/A
2512234,"January 26, 2023","New York","Corona (Queens)","137 30 Redding St",0,1,N/A
2512224,"January 26, 2023","New York",Brooklyn,"1425 Rockaway Pkwy",0,1,N/A
2512844,"January 26, 2023",Michigan,Coldwater,"500 block of Pamela Dr",0,1,N/A
2512343,"January 26, 2023","New Jersey",Newark,"1079 Broad St",1,4,N/A
2512196,"January 26, 2023",Michigan,Kalamazoo,"1300 block of N Rose St",0,1,N/A
2512292,"January 26, 2023",Kentucky,Somerset,"Normandy Ln",0,1,N/A
2512226,"January 26, 2023",Minnesota,"Minneapolis (Brooklyn Center)","5800 block of N Xerxes Ave",0,1,N/A
2512670,"January 26, 2023",Kansas,Wichita,"800 block of W Mount Vernon Rd",2,0,N/A
2512163,"January 26, 2023",Delaware,Wilmington,"400 block of Bradford St",0,1,N/A
2512769,"January 26, 2023",Louisiana,"Baton Rouge","Southpark Dr",0,1,N/A
2512717,"January 26, 2023",Louisiana,"Baton Rouge","Sharon Hills Blvd",0,1,N/A
2512254,"January 26, 2023",Virginia,"Virginia Beach","500 block of Spring Lake Crescent",0,1,N/A
2512757,"January 26, 2023",Wisconsin,Milwaukee,"S 15th St and W Becher St",1,0,N/A
2512723,"January 26, 2023",Louisiana,"New Orleans","Shamrock Dr and Wales St",0,2,N/A
2512126,"January 26, 2023",Maryland,Baltimore,"3400 block of Spelman Rd",1,0,N/A
2512122,"January 26, 2023","District of Columbia",Washington,"200 block of M St SE",0,1,N/A
2512714,"January 26, 2023",Louisiana,"Baton Rouge","3300 block of Mission Dr",1,1,N/A
2512075,"January 26, 2023",Connecticut,Waterbury,"467 Wolcott St",0,1,N/A
2512668,"January 26, 2023","South Carolina",Sumter,"Miller Rd",1,0,N/A
2512373,"January 26, 2023","North Carolina",Enfield,"111 Bryant St",0,2,N/A
2512022,"January 26, 2023",Utah,"Salt Lake City (Taylorsville)","5225 S Redwood Rd",0,0,N/A
2512061,"January 26, 2023",Pennsylvania,Philadelphia,"400 block of S 60th St",0,1,N/A
2512617,"January 26, 2023",Pennsylvania,Lancaster,"525 N Franklin St",0,4,N/A
2511796,"January 26, 2023",Arkansas,"Little Rock","2100 block of W 18th St",1,0,N/A
2512023,"January 26, 2023","District of Columbia",Washington,"4500 block of Quarles St NE",0,1,N/A
2512020,"January 26, 2023","District of Columbia",Washington,"50 block of Kennedy St NW",0,1,N/A
2512560,"January 26, 2023",Pennsylvania,Pittsburgh,"Herrod St and Bond St",1,0,N/A
2512542,"January 26, 2023",Mississippi,Gulfport,"13344 Old Hwy 49",0,1,N/A
2512000,"January 26, 2023",Nevada,"Las Vegas","Farm Rd and Grand Canyon Dr",0,1,N/A
2512532,"January 26, 2023",Mississippi,"Ocean Springs (Latimer)","Comstock Ave",0,1,N/A
2511854,"January 26, 2023",Texas,Lubbock,"60th St and Ave T",0,1,N/A
2512359,"January 26, 2023","District of Columbia",Washington,"21st St NE and M St NE",0,1,N/A
2511850,"January 26, 2023",Texas,Dallas,"5500 block of Tenison Pkwy",1,0,N/A
2512440,"January 26, 2023",Alabama,Birmingham,"3000 block of 31st St N",0,1,N/A
2512423,"January 26, 2023",Georgia,Decatur,"Creste Dr",0,1,N/A
2512339,"January 26, 2023",California,Stockton,"I-5 and March Ln",1,0,N/A
2512414,"January 26, 2023",Georgia,Macon,"809 Main St",0,1,N/A
2511768,"January 26, 2023",Indiana,Indianapolis,"3600 block of Wittfield St",1,1,N/A
2511760,"January 26, 2023",Texas,Amarillo,"4100 block of S Travis St",1,0,N/A
2512017,"January 26, 2023",California,Maywood,"6100 block of Clarkson Ave",1,0,N/A
2512408,"January 26, 2023",Illinois,Chicago,"7000 block of S Crandon Ave",0,1,N/A
2513028,"January 26, 2023",Washington,Yakima,"1st St and H St",0,1,N/A
2511741,"January 26, 2023",Oregon,Portland,"6900 block of N Curtis Ave",1,0,N/A
2512390,"January 26, 2023",Florida,"Neptune Beach","1000 block of Atlantic Blvd",0,2,N/A
2512387,"January 26, 2023","South Carolina","Johns Island","3100 block of Solom Rd",0,1,N/A
2513009,"January 26, 2023",Washington,Richland,"1800 block of McMurray St",1,2,N/A
2512376,"January 26, 2023","North Carolina",Durham,"106 W Knox St",1,0,N/A
2512364,"January 26, 2023",Florida,Homestead,"2000 SE 28th Ave",0,0,N/A
2512366,"January 26, 2023","District of Columbia",Washington,"3rd St SE and Tingey St SE",0,1,N/A
2512327,"January 26, 2023",Massachusetts,Boston,"1684 Dorchester Ave",0,1,N/A
2512977,"January 26, 2023",Texas,Houston,"10010 Kempwood Dr",1,0,N/A
2512968,"January 26, 2023",Texas,"San Antonio","5500 block of Hayden Dr",1,0,N/A
2511580,"January 25, 2023",Alabama,Clay,"6745 Old Springville Rd",0,0,N/A
2511570,"January 25, 2023",Tennessee,Memphis,"2300 block of Frayser Blvd",0,1,N/A
2511390,"January 25, 2023",Virginia,Williamsburg,"700 block of Scotland St",0,1,N/A
2512274,"January 25, 2023",Virginia,"New Castle","400 block of Johns Creek Rd",1,0,N/A
2512269,"January 25, 2023",Virginia,Roanoke,"700 block of Hunt Ave NW",1,0,N/A
2511527,"January 25, 2023",Wisconsin,Milwaukee,"3100 block of N 21st St",0,1,N/A
2511525,"January 25, 2023",Wisconsin,Milwaukee,"5621 N 65th St",0,1,N/A
2511520,"January 25, 2023",Louisiana,"New Orleans","2000 block of Dumaine St",0,1,N/A
2511517,"January 25, 2023",Texas,"Fort Worth","Strong Ave",0,2,N/A
2511493,"January 25, 2023",Virginia,Roanoke,"3780 Stratford Park Dr SW",0,1,N/A
2511502,"January 25, 2023",California,Tracy,"900 block of Peerless Ct",1,0,N/A
2511463,"January 25, 2023",Illinois,Chicago,"W Diversey Ave and N Central Ave",0,1,N/A
2511461,"January 25, 2023",Illinois,Waukegan,"3200 block of Grand Ave",0,1,N/A
2511976,"January 25, 2023",Alaska,Anchorage,"2300 block of Eureka St",1,0,N/A
2511988,"January 25, 2023",Alaska,Anchorage,"900 block of W 7th Ave",0,1,N/A
2511451,"January 25, 2023",Illinois,Chicago,"900 block of E 81st St",1,0,N/A
2511449,"January 25, 2023",Illinois,Chicago,"6700 block of S Chappel Ave",0,1,N/A
2511163,"January 25, 2023",Michigan,"Grand Rapids (East Grand Rapids)","Lake Drive SE and Plymouth Ave SE",1,0,N/A
2511411,"January 25, 2023",Georgia,Atlanta,"2380 Baywood Dr SE",0,1,N/A
2511477,"January 25, 2023",Maryland,Baltimore,"4300 block of Liberty Heights Ave",1,0,N/A
2511377,"January 25, 2023",Texas,Dallas,"2540 Bahama Dr",1,1,N/A
2512168,"January 25, 2023",Iowa,"Cedar Rapids","2010 Glass Rd NE",0,1,N/A
2512764,"January 25, 2023",Louisiana,Bastrop,"W Madison Ave",1,0,N/A
2512759,"January 25, 2023",Louisiana,Bastrop,"Henry St and Martin Luther King",0,1,N/A
2511297,"January 25, 2023",Minnesota,Minneapolis,"2200 block of Emerson Ave N",1,0,N/A
2512116,"January 25, 2023",Wisconsin,Wyoming,"Percussion Rock Rd",0,1,N/A
2511342,"January 25, 2023",Indiana,Gary,"500 block of Chase St",1,0,N/A
2511135,"January 25, 2023",Ohio,Toledo,"5740 Hill Ave",1,0,N/A
2511332,"January 25, 2023",Ohio,Cleveland,"7300 block of Hough Ave",0,1,N/A
2511515,"January 25, 2023",Louisiana,"New Orleans","5300 block of Marais St",1,0,N/A
2512072,"January 25, 2023",Connecticut,Hartford,"Garden St & Homestead Ave",0,2,N/A
2511072,"January 25, 2023","South Carolina",Georgetown,"135 Meadow St",1,0,N/A
2512063,"January 25, 2023",Pennsylvania,Philadelphia,"600 block of E Hilton St",0,1,N/A
2512614,"January 25, 2023",Arkansas,"Little Rock","11200 block of Mara Lynn Rd",0,1,N/A
2512051,"January 25, 2023",California,"San Francisco","1600 block of California St",0,2,N/A
2511510,"January 25, 2023",California,Campbell,"1600 S Winchester Blvd",0,1,N/A
2512039,"January 25, 2023",California,Oakland,"1300 block of 86th Ave",1,0,N/A
2512591,"January 25, 2023",California,Sacramento,"3500 Florin Rd",0,0,N/A
2511245,"January 25, 2023",Florida,Orlando,"528 S Kirkman Rd",1,0,N/A
2511201,"January 25, 2023",Florida,Homestead,"13075 SW 244th St",0,2,N/A
2512005,"January 25, 2023","New Mexico",Albuquerque,"Mesilla St NE and Central Ave SE",1,0,N/A
2511210,"January 25, 2023",Florida,"Hialeah (Miami Lakes)","6800 block of Cassia Dr",0,1,N/A
2511952,"January 25, 2023",Pennsylvania,York,"2098 Loman Ave",3,0,N/A
2511173,"January 25, 2023",Florida,Jacksonville,"8300 block of Sanlando Ave",0,1,N/A
2511317,"January 25, 2023",Florida,"Melbourne Beach","7000 block of A1A",1,1,N/A
2511915,"January 25, 2023",Pennsylvania,Chester,"1000 block of Baldwin St",1,0,N/A
2511895,"January 25, 2023",Georgia,"Atlanta (Doraville)","3800 block of Maryland Dr",0,1,N/A
2511079,"January 25, 2023",Wisconsin,Milwaukee,"700 block of W Becher St",0,1,N/A
2511563,"January 25, 2023",Maryland,Hanover,"2633 Annapolis Rd",1,0,N/A
2511081,"January 25, 2023",Wisconsin,Milwaukee,"1500 block of W Washington",0,1,N/A
2511553,"January 25, 2023",Alabama,"Birmingham (Ensley)","1400 block of 27th St",1,0,N/A